feature,importance
time_completed_was_imputed,0.4842159254136457
was_viewed,0.15734778310271622
time_completed,0.14943222129544603
time_viewed,0.11946910043942482
received_not_viewed,0.03401264157696903
time_received,0.021646274166193923
time_viewed_was_imputed,0.018423826296642777
duration,0.0051058401793503206
channel_count,0.002240990479646124
transaction_count,0.0010968273081504109
reward_per_day,0.0009717804388614128
reward_to_difficulty,0.0006743848830325122
spend_per_membership_day,0.0006308670113426737
total_spent,0.0006125353668374903
spend_per_transaction,0.0006011297856468697
membership_duration_months,0.000548023249608484
income,0.000494478304156089
days_since_registration,0.0004797744330121575
age,0.0004760419233660192
avg_transaction_value,0.0003703629886857117
difficulty,0.0003477262401669623
offer_type_discount,0.000279511813482352
offer_type_bogo,0.00016937320433419887
net_value_score,9.320337059123378e-05
difficulty_per_day,7.320514963888322e-05
reward,6.052981006196775e-05
channel_social,4.778694200691454e-05
channel_web,2.081245731699379e-05
has_mobile_channel,1.384596514631904e-05
has_web_channel,1.2118046258713004e-05
has_social_channel,8.857354136626196e-06
channel_mobile,7.414061642178787e-06
age_was_118,7.006707058996853e-06
gender_missing_before_fill,5.268352789109196e-06
income_missing_before_impute,2.509003373090967e-06
age_missing_before_impute,2.2879260535627828e-08
offer_type_informational,0.0
has_email_channel,0.0
channel_email,0.0
